Link,Score,Prediction
MI_2023_17052ca49f93d3cb409a836cf95183d7.html.gz,1.0071429014205933,Most likely human-generated
MI_2023_18fa21d654f2fa1eea0b9a6dce72029d.html.gz,0.9944751262664795,Most likely human-generated
MI_2023_1d011feda747e5f3de958ed90ad14e10.html.gz,1.0493826866149902,Most likely human-generated
MI_2023_2c84f828e392706ed0cf8ffec2fbb3a0.html.gz,0.9520000219345093,Most likely human-generated
MI_2023_31665dd2d092a172c9629c5d8f3f28e9.html.gz,1.025477647781372,Most likely human-generated
MI_2023_33be0084cb5fe3b97e180583465828fe.html.gz,1.0419580936431885,Most likely human-generated
MI_2023_34e29ea2f8510e7fecb84a438b723912.html.gz,1.0714285373687744,Most likely human-generated
MI_2023_3c2f15d8dea120cae664583ee4563cdf.html.gz,1.0416666269302368,Most likely human-generated
MI_2023_441e3f75da6b43212c3baf65d15e5b64.html.gz,0.9830508232116699,Most likely human-generated
MI_2023_6c1719633e16464f14ea137a7ded8b2f.html.gz,0.9845361113548279,Most likely human-generated
MI_2023_71b081f771e12169924d0c8a8765302f.html.gz,1.0,Most likely human-generated
MI_2023_7cbc1a7f83de47785a8f8fb4da8e4f39.html.gz,1.0248756408691406,Most likely human-generated
MI_2023_83b2d8314e65b36485d8c3166b1ea226.html.gz,0.9277108311653137,Most likely human-generated
MI_2023_85b75670abed2b3a434064f599ef0a3b.html.gz,1.023809552192688,Most likely human-generated
MI_2023_8775e273e3b36f0436805e389e815826.html.gz,1.0469799041748047,Most likely human-generated
MI_2023_945e8037784453752b566cbf7bcebc06.html.gz,0.970059871673584,Most likely human-generated
MI_2023_9e1d778fd4f696fa5810095ca75a7787.html.gz,1.0462428331375122,Most likely human-generated
MI_2023_9e9e74dca121d6a3c110b45b346c960d.html.gz,0.9730769395828247,Most likely human-generated
MI_2023_aca7963368f3d469c5314518b1b2e20e.html.gz,0.9146341681480408,Most likely human-generated
MI_2023_c05aa8c89e70451c7d04395fbd8ed79d.html.gz,1.0903226137161255,Most likely human-generated
MI_2023_c785e2e7149c8c79ab5caf2271275eec.html.gz,0.9896907210350037,Most likely human-generated
MI_2023_d702d849eaedc831344046863d8251e9.html.gz,1.0061349868774414,Most likely human-generated
MI_2023_ee5c317733d64d9fbd8879d1ff37aa1b.html.gz,0.9735099077224731,Most likely human-generated
MI_2023_f620f2c8b472317059cb9c567a852fee.html.gz,0.9702380895614624,Most likely human-generated
MI_2023_fb6692c49bedb3d18e877b458013da7c.html.gz,1.0413223505020142,Most likely human-generated
