Link,Score,Prediction
FL_2021_0a2c008941fc5c5dd6f749be6a228813.html.gz,0.9307692050933838,Most likely human-generated
FL_2021_0d71d86c14854577120cc97e70bf996a.html.gz,1.0,Most likely human-generated
FL_2021_12a089cfb2242da7b16bf05d9a2fcf6b.html.gz,0.9740259647369385,Most likely human-generated
FL_2021_19ef07b739be92e0e00d733d13493cdc.html.gz,0.9375,Most likely human-generated
FL_2021_1eacf8f8e3a782bcd5ba48aaec086fb9.html.gz,0.9597315192222595,Most likely human-generated
FL_2021_3e43d93aa9adf2d446743cd5778651dd.html.gz,0.9764705896377563,Most likely human-generated
FL_2021_63894d1dd87a57705f4ca1facb4ece31.html.gz,0.9503105878829956,Most likely human-generated
FL_2021_6be45da5a4db35068f5547b574cb562e.html.gz,1.0,Most likely human-generated
FL_2021_6e232b2d3cbbf9d8d4dca14b27addc13.html.gz,1.0,Most likely human-generated
FL_2021_80fe63c2026c69ebbf1e59c2e17af2c5.html.gz,0.9861111044883728,Most likely human-generated
FL_2021_85d874619adfbdac46ef479786974203.html.gz,0.9675324559211731,Most likely human-generated
FL_2021_9b81944706a5fc104d156379dcac6338.html.gz,0.9727891087532043,Most likely human-generated
FL_2021_a4480999616b7786807c20b295b622ab.html.gz,1.021621584892273,Most likely human-generated
FL_2021_aa50f1c6f12c2b6d94fd3bceff36fa6d.html.gz,0.9611111283302307,Most likely human-generated
FL_2021_c1ee8de046957691470df6931b91ddf8.html.gz,0.9802631735801697,Most likely human-generated
FL_2021_c2f3265cf856c0b091057f78172eefae.html.gz,0.931506872177124,Most likely human-generated
FL_2021_c72966d2ceca6454bac5878f720c3170.html.gz,0.9296875,Most likely human-generated
FL_2021_cad60498c669658ba2c2728383e98d53.html.gz,1.0,Most likely human-generated
FL_2021_f14cf5c7fc3e9cd7b7f18deec00202d7.html.gz,0.9931972622871399,Most likely human-generated
FL_2021_f49456a1f8acd832f6c312bca9a5dbef.html.gz,0.9805194735527039,Most likely human-generated
FL_2021_f944d92eff99e79f4bc6830cc1a570ee.html.gz,1.0365853309631348,Most likely human-generated
