Link,Score,Prediction
DC_2024_047aea4b04cf0cd0b1e04ea5218bc63e.html.gz,0.990867555141449,Most likely human-generated
DC_2024_0aeacd03a73a7ceba11fba16ae46c802.html.gz,0.993630588054657,Most likely human-generated
DC_2024_249d69065cf20a07f145469b54563376.html.gz,0.9795918464660645,Most likely human-generated
DC_2024_408d17d53b860528320ae1fc6fa60be0.html.gz,0.9586206674575806,Most likely human-generated
DC_2024_420d6e103368d7664c93df1c20ac8b22.html.gz,1.019736886024475,Most likely human-generated
DC_2024_59491742801aeecd72a91f775790bac3.html.gz,0.9930070042610168,Most likely human-generated
DC_2024_7b0de9621bd4e2fd53a4fb57f91790c9.html.gz,1.0,Most likely human-generated
DC_2024_7b5a24ecc775a0f35cfa976cfa86a9f0.html.gz,0.9930555820465088,Most likely human-generated
DC_2024_834717969040315f07c515cb16444885.html.gz,1.0,Most likely human-generated
DC_2024_8c80143e520d29a891d996a003e7941e.html.gz,0.9784172773361206,Most likely human-generated
DC_2024_955895a562a8a845827f4d3c8c645773.html.gz,1.0193548202514648,Most likely human-generated
DC_2024_95a56dd54b0e1bda414b9363ac1c0764.html.gz,0.9750000238418579,Most likely human-generated
DC_2024_a8eb1b87780513a171c542351f47f7e6.html.gz,0.9736841917037964,Most likely human-generated
DC_2024_b518bc6f197a29837d37a89e95cd84dd.html.gz,0.970802903175354,Most likely human-generated
DC_2024_c059de83ffbdb74613eef0b56de72326.html.gz,0.9108280539512634,Most likely human-generated
DC_2024_c8a1a33098d084e59e235887e688397f.html.gz,1.0506329536437988,Most likely human-generated
DC_2024_c8f27413f0476cb5aad9512ecd22ea82.html.gz,1.0506329536437988,Most likely human-generated
DC_2024_ea49166bb671c97c8d1d8019860d875a.html.gz,1.004878044128418,Most likely human-generated
DC_2024_fcb9e31d068c1bcf465ae3dac55b1d62.html.gz,1.0204081535339355,Most likely human-generated
