Link,Score,Prediction
Path to peace in Ukraine,1.009523868560791,Most likely human-generated
"Change the date, celebrate the day",1.0,Most likely human-generated
Critics owe Costello an apology,1.01714289188385,Most likely human-generated
Dutton needs his own Fightback,0.9732620120048523,Most likely human-generated
The dangers of using wrong policy tools for the job,0.9891892075538635,Most likely human-generated
Letters,0.9833333492279053,Most likely human-generated
Qantas must fix all old baggage,1.0105262994766235,Most likely human-generated
A rise was closer than you think,0.9606741666793823,Most likely human-generated
Clean energy 'superpower' plan is not the state picking winners,0.9949238300323486,Most likely human-generated
Having a felon in the White House should raise alarm The AFR View,1.0103092193603516,Most likely human-generated
