Link,Score,Prediction
AL_2021_02f9c0e54889d34862f4a077e698fc3f.html.gz,1.0,Most likely human-generated
AL_2021_03fe5c094df173d4831a3b175a52cab3.html.gz,1.0052909851074219,Most likely human-generated
AL_2021_05956d74589bee09ec8db533c5e2af9f.html.gz,1.0,Most likely human-generated
AL_2021_06b3584cbd45d809016ece145e59c008.html.gz,0.9852941036224365,Most likely human-generated
AL_2021_0977f96944d69cf27a26a88c93b54e44.html.gz,0.9696969985961914,Most likely human-generated
AL_2021_0f971466ef454d1bce7311500e9239ac.html.gz,0.9534883499145508,Most likely human-generated
AL_2021_14556ca6bcbfcd546a4832e0b4753fd4.html.gz,1.0,Most likely human-generated
AL_2021_157a3a25f972366b4838e26d5aa4ba78.html.gz,1.0785714387893677,Most likely human-generated
AL_2021_1a02b64375aa7bba3530ea6b8f88d898.html.gz,1.0192307233810425,Most likely human-generated
AL_2021_1c200b1c7d303baee975832df00adee0.html.gz,0.9275362491607666,Most likely human-generated
AL_2021_208621abc054b3e36f785095741c6cea.html.gz,0.965753436088562,Most likely human-generated
AL_2021_2e26d006bf59163b67c8f07560359b38.html.gz,0.9497206807136536,Most likely human-generated
AL_2021_30f4cb53c57f1f6b5b8acc8007c47edb.html.gz,0.9620253443717957,Most likely human-generated
AL_2021_366e0cd3b5f7bdffc0b0b19f326bfcbd.html.gz,0.9246575236320496,Most likely human-generated
AL_2021_3871b64025d9924c8716f8d9028ff36a.html.gz,1.0220588445663452,Most likely human-generated
AL_2021_3ac96b00424eb6c753c8a460e822b99b.html.gz,1.017241358757019,Most likely human-generated
AL_2021_3b07152677de7ca9726e6fcd64bb95bd.html.gz,0.8897637724876404,Most likely human-generated
AL_2021_3ff36abd7e203abdf169fef52343ac43.html.gz,1.0,Most likely human-generated
AL_2021_41a1b42f7f1f48c64c21aa448f73b941.html.gz,1.0,Most likely human-generated
AL_2021_4268f0629941214e07db8903364a2084.html.gz,0.9741935729980469,Most likely human-generated
AL_2021_43ca4568093c0e0ccc9fb6ef7c43e84d.html.gz,1.0125000476837158,Most likely human-generated
AL_2021_472fb9e3c0fc8f39e91e51244d74f410.html.gz,1.0177778005599976,Most likely human-generated
AL_2021_4b4aff7b26161e8e593114abe020bacf.html.gz,1.0355029106140137,Most likely human-generated
AL_2021_593e4d14eb568854958adb121aa1907d.html.gz,1.0204081535339355,Most likely human-generated
AL_2021_650d7e9665f91dc77ca2281c62180b2a.html.gz,1.012195110321045,Most likely human-generated
AL_2021_68c5d2360c306662adbadca3b1d8c184.html.gz,0.9757575988769531,Most likely human-generated
AL_2021_7168ad702d805db0530e2ab7b14d8aea.html.gz,1.037313461303711,Most likely human-generated
AL_2021_717c88ed73f9a6662826ceb8b91fea38.html.gz,0.9940476417541504,Most likely human-generated
AL_2021_76e32788b20c8b8be18aaa1d47d5a029.html.gz,1.040816307067871,Most likely human-generated
AL_2021_8716d751650b24d8887229f2b01c75e6.html.gz,0.9938271641731262,Most likely human-generated
AL_2021_8b7a2788fc648e1eeb479c2c05f84ff8.html.gz,1.0062893629074097,Most likely human-generated
AL_2021_8c75b11a35b8ad2e83e95e68a10aacf2.html.gz,1.0140186548233032,Most likely human-generated
AL_2021_9054b08990ad72367550223f94df090f.html.gz,0.9718875288963318,Most likely human-generated
AL_2021_913a3044c57669dd33c01ce2db17a660.html.gz,0.9038461446762085,Most likely human-generated
AL_2021_92f8e97802da1487365bb216089ce33c.html.gz,0.8985507488250732,Most likely human-generated
AL_2021_977e23673c277fbb52ab67408ba73db8.html.gz,1.026178002357483,Most likely human-generated
AL_2021_9ca4e3b0850d5aa0a3e1f2872dedd4f8.html.gz,1.0403225421905518,Most likely human-generated
AL_2021_9edcfd9dfde8a69895df7d4cbf782e61.html.gz,1.0061728954315186,Most likely human-generated
AL_2021_9eeef46019300b19409006531b2530b3.html.gz,1.0357142686843872,Most likely human-generated
AL_2021_a5323eae7dd77666847db75a1a7ade7f.html.gz,0.9870967864990234,Most likely human-generated
AL_2021_ab8d09bc92e582e3223c0371ce68a40a.html.gz,1.0149253606796265,Most likely human-generated
AL_2021_af3d5a60b9cc89c5a56b5cd520ea0f78.html.gz,0.9825581312179565,Most likely human-generated
AL_2021_af5537833e6fbc10a698c56355f36731.html.gz,0.9741935729980469,Most likely human-generated
AL_2021_b8d8f78cb473a129bdbc4d4b5e451db6.html.gz,0.9448275566101074,Most likely human-generated
AL_2021_be6c1bb5903725725565468a45895513.html.gz,1.03743314743042,Most likely human-generated
AL_2021_c50880c75ff065fd857166836e04dcae.html.gz,1.0,Most likely human-generated
AL_2021_d0e4739aadaa1d07686ae364b2c85bb5.html.gz,1.0064934492111206,Most likely human-generated
AL_2021_e02b9c0112a8f41acd5b2a5c3aadb2bc.html.gz,0.9715909361839294,Most likely human-generated
AL_2021_e38c7f6a657b3583eeca3d84571a28fa.html.gz,1.0157480239868164,Most likely human-generated
AL_2021_e7f4d92ca433419da1b89b61b822485f.html.gz,1.006622552871704,Most likely human-generated
AL_2021_ecfd1cdd130254e2acebc64172513aae.html.gz,1.006622552871704,Most likely human-generated
AL_2021_f7d3c9c21a98f43a4f0bb1b9e4a1e8b2.html.gz,0.9753086566925049,Most likely human-generated
AL_2021_f904a4e46ae735c30768e21f18fee5a4.html.gz,1.0,Most likely human-generated
AL_2021_fa9113437540828c3fee274217965f67.html.gz,1.0140186548233032,Most likely human-generated
AL_2021_ff75943860b9b357ac0d54393d8ac2c7.html.gz,1.0081967115402222,Most likely human-generated
