Link,Score,Prediction
GA_2022_2fe8c71b7953ee4136b6f597467dc82f.html.gz,1.019736886024475,Most likely human-generated
GA_2022_374dada051a93d3e57389d6dc5a30ba8.html.gz,1.0231213569641113,Most likely human-generated
GA_2022_3b6118de37b0d7b80c6739bafd41d42f.html.gz,1.0176470279693604,Most likely human-generated
GA_2022_4a393d4f8aafa0fa83f324230c1b5e15.html.gz,1.0,Most likely human-generated
GA_2022_5840d91a24f387f7301b7a4ad6bfe4c3.html.gz,1.0201342105865479,Most likely human-generated
GA_2022_680091e61e27a6b0890ffc6182057dd8.html.gz,1.0270270109176636,Most likely human-generated
GA_2022_89958d7f5d7d9a2135f77115c94624f6.html.gz,1.017543911933899,Most likely human-generated
GA_2022_be8869471adbe70065a1d0b0ddd07a47.html.gz,1.0526316165924072,Most likely human-generated
GA_2022_f15c1491ba60a37358862216fabc22b5.html.gz,1.0268456935882568,Most likely human-generated
GA_2022_f2ec164086fdb6392e06dc92ad41f0fb.html.gz,0.9261363744735718,Most likely human-generated
GA_2022_f7608866008292fc947ba7aef4d90af6.html.gz,0.9707602262496948,Most likely human-generated
