Link,Score,Prediction
MN_2023_03a353a8cfb21f80f930285aae76cd8e.html.gz,0.976047933101654,Most likely human-generated
MN_2023_05abeab35fcebc3166dd5556b648e1ae.html.gz,1.0431654453277588,Most likely human-generated
MN_2023_0b22bbedbf1381b5ee24b4d0bd11239f.html.gz,0.9851852059364319,Most likely human-generated
MN_2023_0e308be5271bbb0ff249460b4ae4240f.html.gz,1.025477647781372,Most likely human-generated
MN_2023_12d81e221f16162e41a66a2ff0c480e6.html.gz,0.9822485446929932,Most likely human-generated
MN_2023_16a706edef17ff4fc03805c64a2db892.html.gz,0.9520547986030579,Most likely human-generated
MN_2023_17a0e2f413e7cdc025f77edf3f0d4abc.html.gz,0.9865771532058716,Most likely human-generated
MN_2023_25c7fd338b37388d318e5228e06fbe4c.html.gz,0.970059871673584,Most likely human-generated
MN_2023_2f112640aa2082ac39a6a1d218cfea53.html.gz,0.865470826625824,Most likely human-generated
MN_2023_4189e74eabe6e3520ee1b5d3f19b9e40.html.gz,1.0145984888076782,Most likely human-generated
MN_2023_4bb10d198fe455560108e491225b39bf.html.gz,1.045454502105713,Most likely human-generated
MN_2023_54c4d6893dae90e980f1eb62d83c0abe.html.gz,0.9798657894134521,Most likely human-generated
MN_2023_552fb32c465dcc96fa4643025f159efa.html.gz,0.9938271641731262,Most likely human-generated
MN_2023_566fbb8b5e1a1be8d0e4ce8d41bd6cf0.html.gz,1.1224489212036133,Most likely human-generated
MN_2023_5e303e1d0681dc48393edd63eefdfb1b.html.gz,1.0351759195327759,Most likely human-generated
MN_2023_6d6290e31eb1f63c9e2aa57e1517f41d.html.gz,1.025477647781372,Most likely human-generated
MN_2023_70cb6209a2c1c6b47403110eef02041c.html.gz,1.0198019742965698,Most likely human-generated
MN_2023_7a23da83ff55dba3f05f3d9a72d1d132.html.gz,0.9583333134651184,Most likely human-generated
MN_2023_7d83aa4e374a8ab5f08842ea9c3df84f.html.gz,1.021897792816162,Most likely human-generated
MN_2023_8213451fd4ad26df03d132d25046564d.html.gz,1.0138888359069824,Most likely human-generated
MN_2023_8e24340f4c50d660eda314788202cabc.html.gz,0.9801324605941772,Most likely human-generated
MN_2023_a0b2996a28a70533d94fd8561ff849cc.html.gz,1.025477647781372,Most likely human-generated
MN_2023_a10c61ea73a8b257a25130c3831df20a.html.gz,0.8977272510528564,Most likely human-generated
MN_2023_aaae759e7aa3518656f69ea455753991.html.gz,0.9523809552192688,Most likely human-generated
MN_2023_b79d21bea3264cc174c683ebb7b78ae5.html.gz,0.9556962251663208,Most likely human-generated
MN_2023_b9ca91c9ac4f1bc77c9829c175ccf33c.html.gz,1.0376343727111816,Most likely human-generated
MN_2023_d3c889aaedc1aded1317558d42a0c78c.html.gz,1.0511363744735718,Most likely human-generated
MN_2023_ec73f3b9d0cee68861bae9dc38806343.html.gz,1.0,Most likely human-generated
MN_2023_f8868b0cb29a5b2203f0c530f3f54fd4.html.gz,0.9808917045593262,Most likely human-generated
