Link,Score,Prediction
MI_2020_071cc11087ff49025c1452a832dd71d4.html.gz,1.006250023841858,Most likely human-generated
MI_2020_404239fd23e35c69985b1d24c4c1e1c4.html.gz,1.03125,Most likely human-generated
MI_2020_4ca9c2f5500ec89866bed5811ddbc49a.html.gz,0.9018691778182983,Most likely human-generated
MI_2020_6510619097fe1777b824c43280bad32c.html.gz,0.9788359999656677,Most likely human-generated
MI_2020_6bcc0f8f0687a4244ab741596ae1dfae.html.gz,0.910179615020752,Most likely human-generated
MI_2020_84eb672b8b71164d5317690f6419896e.html.gz,0.9268292784690857,Most likely human-generated
MI_2020_964403c8ec872b86ab0bca647b5c1e69.html.gz,0.9432623982429504,Most likely human-generated
MI_2020_ac059a700da6a9e4b8f45b36122700e9.html.gz,0.9801324605941772,Most likely human-generated
MI_2020_b8be342f59367eeecb52c6be2873ad6c.html.gz,1.0,Most likely human-generated
MI_2020_be0eb64559d40d2dee2e30231c9bddf9.html.gz,1.0,Most likely human-generated
MI_2020_d10f6fde9558fdf7b63596c32e39738d.html.gz,1.0285714864730835,Most likely human-generated
MI_2020_e39ea47b9e7026ce5ba5e8eb2d89a143.html.gz,1.0,Most likely human-generated
MI_2020_ebaa4e60ee7fef118652a5d900864306.html.gz,1.0780141353607178,Most likely human-generated
MI_2020_ebb55a991dc593f88c9887067b704b87.html.gz,0.9662162065505981,Most likely human-generated
MI_2020_f4ad5a43313035cca2f640f2da551103.html.gz,0.9312499761581421,Most likely human-generated
