Link,Score,Prediction
KS_2022_0d261c11dfecf0d882a0d5516b1de3e0.html.gz,0.970588207244873,Most likely human-generated
KS_2022_0e5ab56a654f980e0cad6773211977bd.html.gz,1.0040485858917236,Most likely human-generated
KS_2022_0f6fd64744ab1a6a5a0fd2bc512f7945.html.gz,1.013157844543457,Most likely human-generated
KS_2022_1ae55eb2f3797971bd91fed143f47e6d.html.gz,1.0,Most likely human-generated
KS_2022_25293ba503240074304f68107db59d66.html.gz,1.006666660308838,Most likely human-generated
KS_2022_271b59e6ba71f6b72ac591408b2d940e.html.gz,1.040816307067871,Most likely human-generated
KS_2022_333049156905ccb44e9f84287a25922e.html.gz,1.030075192451477,Most likely human-generated
KS_2022_402ae85edcdd786eccaa41e9257c7da5.html.gz,1.0508474111557007,Most likely human-generated
KS_2022_50ed805fe1c3f48a9d8482bf95769141.html.gz,1.023809552192688,Most likely human-generated
KS_2022_5e5df07d1daad642e85e18aca14f3604.html.gz,0.987261176109314,Most likely human-generated
KS_2022_62328ed0dab9a27cd053494072fb9a41.html.gz,0.9942196607589722,Most likely human-generated
KS_2022_64602dcdc37d69405ef48bbe1613d6b6.html.gz,0.9828571677207947,Most likely human-generated
KS_2022_69a43e471c536d1c0c574cef4d7bec06.html.gz,1.0076335668563843,Most likely human-generated
KS_2022_6a4f147c1b794b7ad236866b993d6906.html.gz,1.0636942386627197,Most likely human-generated
KS_2022_71cb3eaca9b2138715aa427d87358191.html.gz,1.0138888359069824,Most likely human-generated
KS_2022_77f78c63d6042286b0cbf413ee0a1e59.html.gz,1.0,Most likely human-generated
KS_2022_7b0f2b5d0cf13295c441d39229d2a850.html.gz,0.969924807548523,Most likely human-generated
KS_2022_7b108c321b0b298cd4ab0977fe49c778.html.gz,1.0274724960327148,Most likely human-generated
KS_2022_90223b73e7d6535e85e75884476b8ba2.html.gz,1.0135135650634766,Most likely human-generated
KS_2022_9226349dca821b79ef8b6982363db77c.html.gz,0.9818181991577148,Most likely human-generated
KS_2022_92b89d1cedc0920fd8efc75d405d9252.html.gz,0.9210526347160339,Most likely human-generated
KS_2022_9b57ddb167dcb7c00ee1eb74994c3f48.html.gz,0.9182389974594116,Most likely human-generated
KS_2022_9d1a2ced000e95a87e2e372c74369d6b.html.gz,0.94140625,Most likely human-generated
KS_2022_b39db98c3e2aefb0f95c6221b819b15c.html.gz,1.0322580337524414,Most likely human-generated
KS_2022_b69c04b4ffb180d69e00ff94370b9093.html.gz,1.0466666221618652,Most likely human-generated
KS_2022_c0ec4aa8590b56bda71d0b719c4593b6.html.gz,0.9357143044471741,Most likely human-generated
KS_2022_c2af23a48f3c92be11d940fe839fd3e3.html.gz,0.9589040875434875,Most likely human-generated
KS_2022_c378bfd3857adc579ea11c969a94749a.html.gz,1.0555555820465088,Most likely human-generated
KS_2022_c3eda9a5faf71b6cdb0bd644d6b51f36.html.gz,0.9707112908363342,Most likely human-generated
KS_2022_c55dca4174a067a414c7b4a8f9ae9847.html.gz,1.0449438095092773,Most likely human-generated
KS_2022_ca47887d8d97e4babd79d4bac825f890.html.gz,0.9805194735527039,Most likely human-generated
KS_2022_cda9d99e3bf271ee27b538e380db9e5c.html.gz,0.9416058659553528,Most likely human-generated
KS_2022_d0225d99badb66a25c8ac709b0f2c27f.html.gz,0.9436619877815247,Most likely human-generated
KS_2022_d3917fd4152f72259f89f3ce942ec345.html.gz,1.0379747152328491,Most likely human-generated
KS_2022_d6e5547001de827f592147c671e0b9bb.html.gz,0.9387755393981934,Most likely human-generated
KS_2022_d7d8031f9b24d75ed5440a4a5e9d7ca2.html.gz,0.9712643623352051,Most likely human-generated
KS_2022_d937703df2a4db381d3ee498c7d15e97.html.gz,0.8474576473236084,Most likely AI-generated
KS_2022_e061ce8b583da61c5c755ae3a169b0bb.html.gz,1.0,Most likely human-generated
KS_2022_e094a7434706c6298b635f2bd5831301.html.gz,0.988304078578949,Most likely human-generated
KS_2022_e2caf511f73134440ae7da635e20a5cb.html.gz,1.0,Most likely human-generated
KS_2022_e966827a4fe3296b1daba0c3e338975c.html.gz,1.0555555820465088,Most likely human-generated
KS_2022_eb79e24bafda0edde5a09abbc231a88e.html.gz,1.0545454025268555,Most likely human-generated
KS_2022_ed9fdbc6ecf9c9173fdd5b30a5f235b0.html.gz,0.9652777910232544,Most likely human-generated
KS_2022_ef7d9f073e2dce4b812248e09f2a82c5.html.gz,1.0419580936431885,Most likely human-generated
KS_2022_f4483d33763e5292ed5a3cee05662270.html.gz,0.9642857313156128,Most likely human-generated
