Link,Score,Prediction
CA_2022_117d9ed6d7bb67ae68a1474e45769070.html.gz,1.0,Most likely human-generated
CA_2022_1af6654c971f6d1176fbbde51103fc75.html.gz,0.9748427867889404,Most likely human-generated
CA_2022_21a89a0672c3ff4257aa1cefc6dfd985.html.gz,0.9830508232116699,Most likely human-generated
CA_2022_2433d18444f28bfbe777ad52517605d8.html.gz,1.0253164768218994,Most likely human-generated
CA_2022_3901ecf807c88dab1881d3bcd45ac75c.html.gz,1.0526316165924072,Most likely human-generated
CA_2022_8559f90cb4575f2dcde5a33cdbf7d3c2.html.gz,0.9431818127632141,Most likely human-generated
CA_2022_869d16ca5bc2c63f6a1c2ba6654b35c4.html.gz,1.006993055343628,Most likely human-generated
CA_2022_90410af8fb8e92b3b60c61bbd840ec01.html.gz,0.9366196990013123,Most likely human-generated
CA_2022_a61a35a3da7de79c23c1cd0a1b85706e.html.gz,1.0239521265029907,Most likely human-generated
CA_2022_a65e1c3f3e194aa46881cf5d8854ab38.html.gz,0.9819276928901672,Most likely human-generated
CA_2022_b7ed4c7ea35ad99cd42e178dcc559156.html.gz,0.737864077091217,Most likely AI-generated
CA_2022_c815c631c4869c7f33a5dc8f1bff1fdb.html.gz,1.0,Most likely human-generated
CA_2022_e0a0dbf0ffb58a8060d8ed381991cb07.html.gz,1.0126582384109497,Most likely human-generated
CA_2022_e6a0f93dc1805cc472375643353ca633.html.gz,1.0284091234207153,Most likely human-generated
CA_2022_ea8cece5408be61ae338f598ea7e67a6.html.gz,1.0199999809265137,Most likely human-generated
