Link,Score,Prediction
NY_2024_0fb3eade61ed68191b89a0548948e837.html.gz,1.0137931108474731,Most likely human-generated
NY_2024_232b36330e13b191123689c1fbf863ce.html.gz,1.0452674627304077,Most likely human-generated
NY_2024_3381202a0ef79523432dfd24548dfee1.html.gz,1.0131003856658936,Most likely human-generated
NY_2024_340217ca02beee9cdb06d677f83eea3e.html.gz,0.9319728016853333,Most likely human-generated
NY_2024_3481ef4cc4ab99045489773dd9ad3b4e.html.gz,1.056962013244629,Most likely human-generated
NY_2024_3a5cebd39777423c3ca1599ce1dc4e3c.html.gz,0.9617834687232971,Most likely human-generated
NY_2024_3bca598260a06ac06ac8371fb9698559.html.gz,0.942105233669281,Most likely human-generated
NY_2024_3d50db5adebf7ad79df591c605fa32bc.html.gz,0.9794520735740662,Most likely human-generated
NY_2024_4119275c1686437cfd47cf10492455d5.html.gz,1.0120482444763184,Most likely human-generated
NY_2024_6152099277d03df75ae155135dfb9913.html.gz,0.921875,Most likely human-generated
NY_2024_707da2dd87411ade76f6228cbb8c5a41.html.gz,0.9718309640884399,Most likely human-generated
NY_2024_720eff853008e56b1c2c19b1bf6ec3f3.html.gz,1.0273972749710083,Most likely human-generated
NY_2024_815cce280cfceda7ab74260dc2ef954f.html.gz,0.950276255607605,Most likely human-generated
NY_2024_82b2bd91df7f2eb0a7ce1ef2a7fa0cc0.html.gz,1.0164835453033447,Most likely human-generated
NY_2024_901b95b762ebf55f8d18456d6f6646cf.html.gz,0.9744898080825806,Most likely human-generated
NY_2024_938bbb1b15a867e562ff98918fe72666.html.gz,1.0,Most likely human-generated
NY_2024_975d4e24ad9cfa8a38e1360581077fb5.html.gz,0.9927007555961609,Most likely human-generated
NY_2024_97d60360a3cefda4b83511afdd5cfae6.html.gz,0.9411764740943909,Most likely human-generated
NY_2024_9b12d31001d8c281090dfcc4620779ec.html.gz,0.9627329111099243,Most likely human-generated
NY_2024_9f692403ef05f526e455f335b54f30b0.html.gz,0.9536423683166504,Most likely human-generated
NY_2024_a315e942faa56ab40dcc226a4501330e.html.gz,0.9921875,Most likely human-generated
NY_2024_a9ef9fcc549fe5a090ffe85680ad5ad4.html.gz,1.0063694715499878,Most likely human-generated
NY_2024_b1e87ca90622760fe3bd437f103ab2ba.html.gz,0.9944444298744202,Most likely human-generated
NY_2024_b5dfce5be46c25c2a4b0aee6700f9cbe.html.gz,0.9919678568840027,Most likely human-generated
NY_2024_c51bfc2bd95e7e6c2ac6c90a238a4ee7.html.gz,1.050561785697937,Most likely human-generated
NY_2024_c8822f996712a069d3616341ff09d33a.html.gz,0.9928057789802551,Most likely human-generated
NY_2024_ce7d52058c0245893e44aebd1a107d51.html.gz,0.9463087320327759,Most likely human-generated
NY_2024_db0dd1f9bdba1d0218ea313262978157.html.gz,0.9652777910232544,Most likely human-generated
NY_2024_dd65ebb22be6ab39d709c9f6cec267c1.html.gz,0.9759036302566528,Most likely human-generated
NY_2024_e727f4e358aaa267f8ebcc28f50b9d9e.html.gz,0.987500011920929,Most likely human-generated
NY_2024_f414f208765b271acd367db573ac6cd0.html.gz,0.99609375,Most likely human-generated
NY_2024_f96e4429959a6eed0cf9b8f7e94419f6.html.gz,1.0303030014038086,Most likely human-generated
