Link,Score,Prediction
MA_2023_00637e9e36b00a79fddf2c24b2a33aa3.html.gz,0.9725274443626404,Most likely human-generated
MA_2023_0182677be5eac27aa023e51a9ef47ffb.html.gz,0.9295154213905334,Most likely human-generated
MA_2023_0393246f33afb37efcb9ddb0111198ea.html.gz,1.0304877758026123,Most likely human-generated
MA_2023_064223194be7ef7b25aaf11ca766dc4b.html.gz,0.987261176109314,Most likely human-generated
MA_2023_0749d834726da16764d45cc76642c382.html.gz,0.9794520735740662,Most likely human-generated
MA_2023_09481c187f6856d1eb4e24654e1bc28a.html.gz,0.7954545617103577,Most likely AI-generated
MA_2023_0b1811b4f9f74ac35f5a77bfba4875ac.html.gz,1.0126582384109497,Most likely human-generated
MA_2023_0b9b67ee753636f4762b099dbe9a03ff.html.gz,1.0129870176315308,Most likely human-generated
MA_2023_0c3a10957feeed8f0ed172a8177759b3.html.gz,0.9629629850387573,Most likely human-generated
MA_2023_0c507432b90f6e5c5aa80988d79e29b6.html.gz,0.976047933101654,Most likely human-generated
MA_2023_0d2c17a7a6174015f0380027d1c6c6bd.html.gz,1.0,Most likely human-generated
MA_2023_0e430bf1d3793aaf50f91911cca55381.html.gz,0.9944444298744202,Most likely human-generated
MA_2023_0ea2a7f53c6a63b27160476a64a9025c.html.gz,0.9774011373519897,Most likely human-generated
MA_2023_10d291a8b229f4ddf6e4354527502219.html.gz,1.0149999856948853,Most likely human-generated
MA_2023_11c9b335f598f438f9ed509d642af11f.html.gz,1.005555510520935,Most likely human-generated
MA_2023_127cdd7eae232bbab8fbb831a142c9eb.html.gz,1.0394736528396606,Most likely human-generated
MA_2023_134412b632014eca2998f66fe75f58ab.html.gz,0.9463087320327759,Most likely human-generated
MA_2023_15c9a237d64c1879c0323a9715663b8d.html.gz,1.0301204919815063,Most likely human-generated
MA_2023_160bc50035ad5dee306a70d1ddcf0e5d.html.gz,1.0666667222976685,Most likely human-generated
MA_2023_16efab8927eefb0f861e6d71396ef237.html.gz,0.9358974099159241,Most likely human-generated
MA_2023_16f043d46af9748bbe07f52c9da58be9.html.gz,1.0243902206420898,Most likely human-generated
MA_2023_17d864873d17d876b03cd7995966fa3f.html.gz,0.8863636255264282,Most likely human-generated
MA_2023_17e4fafdc5c6946e7981b63f5c6ccc6b.html.gz,1.0,Most likely human-generated
MA_2023_186e1da8017358a28cd7de5b5b27b3d5.html.gz,1.0176470279693604,Most likely human-generated
MA_2023_18795901393a29a5fe6b6cb251134333.html.gz,0.9444444179534912,Most likely human-generated
MA_2023_18c5d1d293e8dee58b51aae0a1a99203.html.gz,0.9350649118423462,Most likely human-generated
MA_2023_1a0f7832a9786a20a0a06129754fefd2.html.gz,0.9815950989723206,Most likely human-generated
MA_2023_1beaa416713c80426b18ed4c1f57f905.html.gz,0.9934640526771545,Most likely human-generated
MA_2023_20a602c1e7a2d6df28485b2fd1b23527.html.gz,0.9785714149475098,Most likely human-generated
MA_2023_23d6fc22331b66635abefea60f62196f.html.gz,0.9936708807945251,Most likely human-generated
MA_2023_25aeb0c5bd39b6653cc2a08d70482a89.html.gz,0.7578125,Most likely AI-generated
MA_2023_27e4679a78e176fb9c59e8ed9e4cfdc4.html.gz,1.037500023841858,Most likely human-generated
MA_2023_2865a187141fe6329dba74d72fc67d6e.html.gz,0.9668874144554138,Most likely human-generated
MA_2023_2929d190c7e503929d2897bee8623ee0.html.gz,0.9213483333587646,Most likely human-generated
MA_2023_2c153f455bc1b02ef4c8d3ece7461302.html.gz,1.0,Most likely human-generated
MA_2023_2e4def09f21b0dd444a9376ec456fa3b.html.gz,0.9586206674575806,Most likely human-generated
MA_2023_30ea45645fc95e48f045ce1c486ea60e.html.gz,1.0666667222976685,Most likely human-generated
MA_2023_315dc7c43226542f49d7c29888af71af.html.gz,0.9421965479850769,Most likely human-generated
MA_2023_35d1d9fdaaab8d62b3a408462be6b42c.html.gz,0.9805194735527039,Most likely human-generated
MA_2023_3631d600fb669e0393cc413902d3ae80.html.gz,1.08695650100708,Most likely human-generated
MA_2023_371152816efaedb7ed2457b2feb583f5.html.gz,0.9235293865203857,Most likely human-generated
MA_2023_39cf42cb51e825737daf546757613248.html.gz,0.948051929473877,Most likely human-generated
MA_2023_3bcca2b1c1140ad3be0003dfca049b73.html.gz,1.0,Most likely human-generated
MA_2023_3c9bc2554345556ad0d84ccf9fc3dc3e.html.gz,0.9333333373069763,Most likely human-generated
MA_2023_3d9e6d52e8e548b3a9b4b7809c0fea5c.html.gz,1.00632905960083,Most likely human-generated
MA_2023_40e105ab40d26d10fe61fabed50a5d8c.html.gz,1.022099494934082,Most likely human-generated
MA_2023_42a007d2f7e2fa44392ebb84daa1be66.html.gz,1.010471224784851,Most likely human-generated
MA_2023_44cfa88f15b58c168b025091b08b32ad.html.gz,1.0357142686843872,Most likely human-generated
MA_2023_458b4da773f3d0ccfba4eff260a55f40.html.gz,1.0492957830429077,Most likely human-generated
