Link,Score,Prediction
ID_2023_002da11885484d847f44f711c0a6c746.html.gz,0.9685039520263672,Most likely human-generated
ID_2023_09fd35933b6c51234e86a51c9e1656f5.html.gz,1.0269057750701904,Most likely human-generated
ID_2023_0cffb245486ade3f44de435c17eefce3.html.gz,0.946107804775238,Most likely human-generated
ID_2023_0f22ec12f78f1e8ea0e238e6f62c41ed.html.gz,1.0759493112564087,Most likely human-generated
ID_2023_1123b1fe4dab1d9b89bd39c7a4c8a18c.html.gz,0.9365079402923584,Most likely human-generated
ID_2023_1275ee228b579b438b541945e468be5b.html.gz,1.0367647409439087,Most likely human-generated
ID_2023_148b946029f2326e143a8b145eed1d4e.html.gz,0.9918367266654968,Most likely human-generated
ID_2023_164a8d045af9842c8f77d247e62c2510.html.gz,1.0364964008331299,Most likely human-generated
ID_2023_17b537dc94079ac1182445106ea80ed8.html.gz,1.0060975551605225,Most likely human-generated
ID_2023_1891ebeade7a4d1ef2af69eb486c0679.html.gz,0.9312499761581421,Most likely human-generated
ID_2023_1a49c11f82eb8c0e2c912fed61038aa4.html.gz,0.942307710647583,Most likely human-generated
ID_2023_1d63a8922b2d8a68ee02cb02a6d0a7d6.html.gz,1.0714285373687744,Most likely human-generated
ID_2023_21a474c6ce2a01c6bc5a50f03ece7e61.html.gz,1.0208333730697632,Most likely human-generated
ID_2023_21d0707e4236178f141601cbeb9ae67a.html.gz,0.9779411554336548,Most likely human-generated
ID_2023_230a5369f555c2de83a6c5e25035ae68.html.gz,1.047904133796692,Most likely human-generated
ID_2023_25777303d40630f3011cec4b8fb510fd.html.gz,1.0913461446762085,Most likely human-generated
ID_2023_292d9d4ef0e54133ef64d371799b3121.html.gz,1.0714285373687744,Most likely human-generated
ID_2023_2ec7a0b68b146869ec64c31c9daa2b6a.html.gz,1.012738823890686,Most likely human-generated
ID_2023_2f16734b2ed65df7af5d7e32afdce925.html.gz,1.051948070526123,Most likely human-generated
ID_2023_34a1b2463b3cf50e48b4ebcabe7c7edb.html.gz,1.0562770366668701,Most likely human-generated
ID_2023_3520d528f22989202b6e2eab44d04d5c.html.gz,1.0,Most likely human-generated
ID_2023_373a9d166e9c7711b761068dda25871d.html.gz,1.0235294103622437,Most likely human-generated
ID_2023_38f3b9cdc3e6e7469594b75cd81e7295.html.gz,1.0,Most likely human-generated
ID_2023_396898b1d35a9d2ef4451663cd55693c.html.gz,0.9466666579246521,Most likely human-generated
ID_2023_465ce7146840d1d278ea656ccafd9324.html.gz,1.0218579769134521,Most likely human-generated
ID_2023_490b7190269310a5ced55b11af4d9b8a.html.gz,1.0204081535339355,Most likely human-generated
ID_2023_53c148e7467e3663a90777b008334682.html.gz,0.9881656765937805,Most likely human-generated
ID_2023_5e938156185d1d63458635c800c946dd.html.gz,1.0143884420394897,Most likely human-generated
ID_2023_5ee5e83e8688b55e808c8791391cb9e6.html.gz,0.9822485446929932,Most likely human-generated
ID_2023_6875cd7cc8deb726be95fa3648cf640d.html.gz,1.0465116500854492,Most likely human-generated
ID_2023_6a42073d8b237701a2400b82aa1b04bc.html.gz,1.0671141147613525,Most likely human-generated
ID_2023_6bfbe69f58876aeb1fe0805bd2b9b53f.html.gz,0.9503546357154846,Most likely human-generated
ID_2023_7a1ee33f14b99363e2143c68c7198de3.html.gz,1.028735637664795,Most likely human-generated
ID_2023_809cdb523defacf3ce07cee8c042aa72.html.gz,1.0913461446762085,Most likely human-generated
ID_2023_83cbcedc5f8a5efc9e2475aaf3f705e6.html.gz,1.0140844583511353,Most likely human-generated
ID_2023_86ab77aeaaff4047669ac24ff8033976.html.gz,0.9679144620895386,Most likely human-generated
ID_2023_8837892338972be01f6e399061a63efd.html.gz,1.0151515007019043,Most likely human-generated
ID_2023_8ba7d7916be7a67ee1d53122548b21e0.html.gz,1.0465116500854492,Most likely human-generated
ID_2023_9ebd8402bbf6ee6756e660071ba710ff.html.gz,0.9779411554336548,Most likely human-generated
ID_2023_9ee1b92901a6842d07bcfd46c64c6c17.html.gz,0.9503105878829956,Most likely human-generated
